Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,152.15835571289062,160.6199951171875,160.72999572753906,158.3300018310547,158.77999877929688,22622100
2020-01-03,150.26376342773438,158.6199951171875,159.9499969482422,158.05999755859375,158.32000732421875,21116200
2020-01-06,150.6521759033203,159.02999877929688,159.10000610351562,156.50999450683594,157.0800018310547,20813700
2020-01-07,149.278564453125,157.5800018310547,159.6699981689453,157.32000732421875,159.32000732421875,21634100
2020-01-08,151.65634155273438,160.08999633789062,160.8000030517578,157.9499969482422,158.92999267578125,27746500
2020-01-09,153.55093383789062,162.08999633789062,162.22000122070312,161.02999877929688,161.83999633789062,21385000
2020-01-10,152.8404541015625,161.33999633789062,163.22000122070312,161.17999267578125,162.82000732421875,20725900
2020-01-13,154.6782684326172,163.27999877929688,163.30999755859375,161.25999450683594,161.75999450683594,21626500
2020-01-14,153.58885192871094,162.1300048828125,163.60000610351562,161.72000122070312,163.38999938964844,23477400
2020-01-15,154.58349609375,163.17999267578125,163.94000244140625,162.57000732421875,162.6199951171875,21417900
2020-01-16,157.416015625,166.1699981689453,166.24000549316406,164.02999877929688,164.35000610351562,23865400
2020-01-17,158.29702758789062,167.10000610351562,167.47000122070312,165.42999267578125,167.4199981689453,34371700
2020-01-21,157.7285919189453,166.5,168.19000244140625,166.42999267578125,166.67999267578125,29517200
2020-01-22,156.9707794189453,165.6999969482422,167.49000549316406,165.67999267578125,167.39999389648438,24138800
2020-01-23,157.9370574951172,166.72000122070312,166.8000030517578,165.27000427246094,166.19000244140625,19680800
2020-01-24,156.3455352783203,165.0399932861328,167.52999877929688,164.4499969482422,167.50999450683594,24918100
2020-01-27,153.73094177246094,162.27999877929688,163.3800048828125,160.1999969482422,161.14999389648438,32078100
2020-01-28,156.74339294433594,165.4600067138672,165.75999450683594,163.07000732421875,163.77999877929688,24899900
2020-01-29,159.1875,168.0399932861328,168.75,165.69000244140625,167.83999633789062,34754500
2020-01-30,163.67779541015625,172.77999877929688,174.0500030517578,170.7899932861328,174.0500030517578,51597500
2020-01-31,161.26211547851562,170.22999572753906,172.39999389648438,169.5800018310547,172.2100067138672,36142700
2020-02-03,165.19349670410156,174.3800048828125,174.5,170.39999389648438,170.42999267578125,30107000
2020-02-04,170.63113403320312,180.1199951171875,180.63999938964844,176.30999755859375,177.13999938964844,36433300
2020-02-05,170.4226837158203,179.89999389648438,184.1999969482422,178.41000366210938,184.02999877929688,39186300
2020-02-06,173.9562225341797,183.6300048828125,183.82000732421875,180.05999755859375,180.97000122070312,27751400
2020-02-07,174.2025604248047,183.88999938964844,185.6300048828125,182.47999572753906,182.85000610351562,33529100
2020-02-10,178.7591094970703,188.6999969482422,188.83999633789062,183.25,183.5800018310547,35844300
2020-02-11,174.72352600097656,184.44000244140625,190.6999969482422,183.5,190.64999389648438,53159900
2020-02-12,174.97930908203125,184.7100067138672,185.85000610351562,181.85000610351562,185.5800018310547,47062900
2020-02-13,174.03199768066406,183.7100067138672,186.22999572753906,182.8699951171875,183.0800018310547,35295800
2020-02-14,175.58563232421875,185.35000610351562,185.41000366210938,182.64999389648438,183.25,23149500
2020-02-18,177.36651611328125,187.22999572753906,187.6999969482422,185.5,185.61000061035156,27792200
2020-02-19,177.8985137939453,187.27999877929688,188.17999267578125,186.47000122070312,188.05999755859375,29997500
2020-02-20,175.1817626953125,184.4199981689453,187.25,181.10000610351562,186.9499969482422,36862400
2020-02-21,169.64382934570312,178.58999633789062,183.5,177.25,183.1699981689453,48572600
2020-02-24,162.32958984375,170.88999938964844,174.5500030517578,163.22999572753906,167.77000427246094,68311100
2020-02-25,159.65081787109375,168.07000732421875,174.83999633789062,167.64999389648438,174.1999969482422,68073300
2020-02-26,161.64559936523438,170.1699981689453,173.25999450683594,168.2100067138672,169.7100067138672,56206100
2020-02-27,150.25625610351562,158.17999267578125,167.02999877929688,157.97999572753906,163.32000732421875,93174900
2020-02-28,153.8943634033203,162.00999450683594,163.7100067138672,152.0,152.41000366210938,97012700
2020-03-02,164.13438415527344,172.7899932861328,172.9199981689453,162.30999755859375,165.30999755859375,71030800
2020-03-03,156.26910400390625,164.50999450683594,175.0,162.25999450683594,173.8000030517578,71677000
2020-03-04,162.006591796875,170.5500030517578,170.6999969482422,165.6199951171875,168.49000549316406,49814400
2020-03-05,157.9409637451172,166.27000427246094,170.8699951171875,165.69000244140625,166.0500030517578,47817300
2020-03-06,153.4763946533203,161.57000732421875,163.11000061035156,156.0,162.61000061035156,72821100
2020-03-09,143.0749053955078,150.6199951171875,157.75,150.0,151.0,70419300
2020-03-10,152.85897827148438,160.9199981689453,161.02999877929688,152.5800018310547,158.16000366210938,65354400
2020-03-11,145.9341278076172,153.6300048828125,157.6999969482422,151.14999389648438,157.1300048828125,56371600
2020-03-12,132.09400939941406,139.05999755859375,153.47000122070312,138.5800018310547,145.3000030517578,93226400
2020-03-13,150.87367248535156,158.8300018310547,161.91000366210938,140.72999572753906,147.5,92727400
2020-03-16,128.63632202148438,135.4199981689453,149.35000610351562,135.0,140.0,87905900
2020-03-17,139.22779846191406,146.57000732421875,147.5,135.0,140.0,81059800
2020-03-18,133.3668975830078,140.39999389648438,146.0,135.02000427246094,138.0,81593200
2020-03-19,135.56117248535156,142.7100067138672,150.14999389648438,139.0,142.77000427246094,85922700
2020-03-20,130.46969604492188,137.35000610351562,147.10000610351562,135.86000061035156,146.0,84866200
2020-03-23,129.16824340820312,135.97999572753906,140.57000732421875,132.52000427246094,137.00999450683594,78975200
2020-03-24,140.9091339111328,148.33999633789062,149.60000610351562,141.27000427246094,143.75,82516700
2020-03-25,139.56027221679688,146.9199981689453,154.3300018310547,144.44000244140625,148.91000366210938,75638200
2020-03-26,148.2899169921875,156.11000061035156,156.66000366210938,148.3699951171875,148.39999389648438,64568100
