Date,Adj Close,Close,High,Low,Open,Volume,SPY_Close,momentum,signal,position,portfolio_value,strategy_returns
2020-01-02,152.15835571289062,160.6199951171875,160.72999572753906,158.3300018310547,158.77999877929688,22622100,296.88812255859375,,0,0.0,10000.0,
2020-01-03,150.26376342773438,158.6199951171875,159.9499969482422,158.05999755859375,158.32000732421875,21116200,294.6401672363281,,0,0.0,10000.0,0.0
2020-01-06,150.6521759033203,159.02999877929688,159.10000610351562,156.50999450683594,157.0800018310547,20813700,295.7641296386719,,0,0.0,10000.0,0.0
2020-01-07,149.278564453125,157.5800018310547,159.6699981689453,157.32000732421875,159.32000732421875,21634100,294.9324951171875,,0,0.0,10000.0,0.0
2020-01-08,151.65634155273438,160.08999633789062,160.8000030517578,157.9499969482422,158.92999267578125,27746500,296.5044250488281,,0,0.0,10000.0,0.0
2020-01-09,153.55093383789062,162.08999633789062,162.22000122070312,161.02999877929688,161.83999633789062,21385000,298.5148620605469,,0,0.0,10000.0,0.0
2020-01-10,152.8404541015625,161.33999633789062,163.22000122070312,161.17999267578125,162.82000732421875,20725900,297.6557922363281,,0,0.0,10000.0,0.0
2020-01-13,154.6782684326172,163.27999877929688,163.30999755859375,161.25999450683594,161.75999450683594,21626500,299.702880859375,,0,0.0,10000.0,0.0
2020-01-14,153.58885192871094,162.1300048828125,163.60000610351562,161.72000122070312,163.38999938964844,23477400,299.2459716796875,,0,0.0,10000.0,0.0
2020-01-15,154.58349609375,163.17999267578125,163.94000244140625,162.57000732421875,162.6199951171875,21417900,299.9222106933594,,0,0.0,10000.0,0.0
2020-01-16,157.416015625,166.1699981689453,166.24000549316406,164.02999877929688,164.35000610351562,23865400,302.4170227050781,,0,0.0,10000.0,0.0
2020-01-17,158.29702758789062,167.10000610351562,167.47000122070312,165.42999267578125,167.4199981689453,34371700,303.35833740234375,,0,0.0,10000.0,0.0
2020-01-21,157.7285919189453,166.5,168.19000244140625,166.42999267578125,166.67999267578125,29517200,302.764404296875,,0,0.0,10000.0,0.0
2020-01-22,156.9707794189453,165.6999969482422,167.49000549316406,165.67999267578125,167.39999389648438,24138800,302.80096435546875,,0,0.0,10000.0,0.0
2020-01-23,157.9370574951172,166.72000122070312,166.8000030517578,165.27000427246094,166.19000244140625,19680800,303.1481628417969,,0,0.0,10000.0,0.0
2020-01-24,156.3455352783203,165.0399932861328,167.52999877929688,164.4499969482422,167.50999450683594,24918100,300.4523010253906,,0,0.0,10000.0,0.0
2020-01-27,153.73094177246094,162.27999877929688,163.3800048828125,160.1999969482422,161.14999389648438,32078100,295.63623046875,,0,0.0,10000.0,0.0
2020-01-28,156.74339294433594,165.4600067138672,165.75999450683594,163.07000732421875,163.77999877929688,24899900,298.73419189453125,,0,0.0,10000.0,0.0
